subj_id,latency,condition_str
SB2,244.0,ND
SB2,275.0,SD
SB2,315.0,AD
SB2,175.0,ND
SB2,305.0,SD
SB2,376.0,AD
SB2,261.0,ND
SB2,302.0,SD
SB2,395.0,AD
SB2,268.0,ND
SB2,270.0,SD
SB2,350.0,AD
SB2,317.0,ND
SB2,301.0,SD
SB2,254.0,AD
SB2,326.0,ND
SB2,385.0,SD
SB2,350.0,AD
SB2,271.0,ND
SB2,265.0,SD
SB2,371.0,AD
SB2,249.0,ND
SB2,289.0,SD
SB2,320.0,AD
SB2,255.0,ND
SB2,234.0,SD
SB2,395.0,AD
SB2,351.0,ND
SB2,345.0,SD
SB2,334.0,AD
SB2,297.0,ND
SB2,216.0,SD
SB2,285.0,AD
SB2,315.0,ND
SB2,290.0,SD
SB2,355.0,AD
SB2,286.0,ND
SB2,306.0,SD
SB2,346.0,AD
SB2,249.0,ND
SB2,354.0,SD
SB2,409.0,AD
SB2,316.0,ND
SB2,300.0,SD
SB2,340.0,AD
SB2,315.0,ND
SB2,310.0,SD
SB2,376.0,AD
SB2,306.0,ND
SB2,295.0,SD
SB2,271.0,AD
SB2,320.0,ND
SB2,336.0,SD
SB2,315.0,AD
SB2,255.0,ND
SB2,300.0,SD
SB2,396.0,AD
SB2,276.0,ND
SB2,409.0,SD
SB2,361.0,AD
SB2,286.0,ND
SB2,301.0,SD
SB2,516.0,AD
SB2,255.0,ND
SB2,311.0,SD
SB2,361.0,AD
SB2,280.0,ND
SB2,372.0,SD
SB2,320.0,AD
SB2,261.0,ND
SB2,341.0,SD
SB2,375.0,AD
SB2,264.0,ND
SB2,302.0,SD
SB2,376.0,AD
SB2,325.0,ND
SB2,270.0,SD
SB2,395.0,AD
SB2,175.0,ND
SB2,301.0,SD
SB2,350.0,AD
SB2,326.0,ND
SB2,234.0,SD
SB2,320.0,AD
SB2,255.0,ND
SB2,216.0,SD
SB2,334.0,AD
SB2,295.0,ND
SB2,351.0,SD
SB2,285.0,AD
SB2,297.0,ND
SB2,340.0,SD
SB2,355.0,AD
HY,304.0,ND
HY,361.0,SD
HY,340.0,AD
HY,305.0,ND
HY,470.0,SD
HY,310.0,AD
HY,315.0,ND
HY,399.0,SD
HY,351.0,AD
HY,279.0,ND
HY,195.0,SD
HY,380.0,AD
HY,345.0,ND
HY,306.0,SD
HY,280.0,AD
HY,355.0,ND
HY,465.0,SD
HY,325.0,AD
HY,261.0,ND
HY,352.0,SD
HY,255.0,AD
HY,400.0,ND
HY,359.0,SD
HY,370.0,AD
HY,310.0,ND
HY,324.0,SD
HY,280.0,AD
HY,340.0,ND
HY,497.0,SD
HY,501.0,AD
HY,299.0,ND
HY,361.0,SD
HY,355.0,AD
HY,371.0,ND
HY,415.0,SD
HY,370.0,AD
HY,381.0,ND
HY,355.0,SD
HY,315.0,AD
HY,386.0,ND
HY,390.0,SD
HY,435.0,AD
HY,375.0,ND
HY,354.0,SD
HY,535.0,AD
HY,385.0,ND
HY,335.0,SD
HY,399.0,AD
HY,395.0,ND
HY,395.0,SD
HY,720.0,AD
HY,359.0,ND
HY,436.0,SD
HY,419.0,AD
HY,300.0,ND
HY,301.0,SD
HY,669.0,AD
HY,390.0,ND
HY,264.0,SD
HY,419.0,AD
HY,350.0,ND
HY,335.0,SD
HY,340.0,AD
HY,366.0,ND
HY,351.0,SD
HY,391.0,AD
HY,280.0,ND
HY,414.0,SD
HY,334.0,AD
HY,304.0,ND
HY,329.0,SD
HY,365.0,AD
HY,305.0,ND
HY,254.0,SD
HY,615.0,AD
HY,319.0,ND
HY,310.0,SD
HY,425.0,AD
HY,364.0,ND
HY,480.0,SD
HY,370.0,AD
HY,280.0,ND
HY,420.0,SD
HY,351.0,AD
HY,305.0,ND
HY,399.0,SD
HY,325.0,AD
HY,315.0,ND
HY,195.0,SD
HY,255.0,AD
HY,345.0,ND
HY,465.0,SD
HY,280.0,AD
HY,261.0,ND
HY,359.0,SD
HY,501.0,AD
HY,380.0,ND
HY,497.0,SD
HY,575.0,AD
HY,340.0,ND
HY,361.0,SD
HY,380.0,AD
HY,299.0,ND
HY,379.0,SD
HY,370.0,AD
HY,366.0,ND
HY,381.0,SD
HY,315.0,AD
HY,339.0,ND
HY,330.0,SD
HY,435.0,AD
CD2,309.0,ND
CD2,374.0,SD
CD2,225.0,AD
CD2,266.0,ND
CD2,286.0,SD
CD2,371.0,AD
CD2,321.0,ND
CD2,370.0,SD
CD2,448.0,AD
CD2,259.0,ND
CD2,346.0,SD
CD2,394.0,AD
CD2,255.0,ND
CD2,290.0,SD
