condition_str,subj_id,num,type,error,correctmove,latency,omit,oreas,timesincelast,direction,destination,last_distractor_offset,time_since_last_distractor
AD,SB2,2.0,1.0,0.0,1.0,271.0,0.0,0.0,384.0,78.0,1038.0,101.0,384.0
AD,SB2,3.0,0.0,1.0,0.0,284.0,0.0,0.0,2086.0,869.0,1728.0,0.0,0.0
AD,SB2,4.0,1.0,0.0,-1.0,0.0,1.0,11.0,0.0,59.0,1097.0,0.0,0.0
AD,SB2,5.0,1.0,0.0,1.0,333.0,0.0,0.0,1110.0,-39.0,1058.0,-631.0,1819.0
AD,SB2,6.0,0.0,0.0,1.0,242.0,0.0,0.0,91.0,-69.0,1659.0,0.0,0.0
AD,SB2,7.0,1.0,0.0,1.0,315.0,0.0,0.0,1635.0,-62.0,996.0,-601.0,1635.0
AD,SB2,8.0,0.0,0.0,1.0,111.0,0.0,0.0,189.0,69.0,1728.0,0.0,0.0
AD,SB2,9.0,0.0,0.0,1.0,0.0,1.0,16.0,1825.0,-133.0,1595.0,0.0,0.0
AD,SB2,10.0,1.0,0.0,1.0,396.0,0.0,0.0,95.0,-145.0,851.0,-599.0,95.0
AD,SB2,11.0,0.0,0.0,1.0,0.0,1.0,11.0,0.0,133.0,1728.0,0.0,0.0
AD,SB2,12.0,1.0,0.0,1.0,346.0,0.0,0.0,949.0,132.0,983.0,-877.0,949.0
AD,SB2,13.0,0.0,0.0,1.0,170.0,0.0,0.0,150.0,-1418.0,310.0,0.0,0.0
AD,SB2,14.0,0.0,0.0,1.0,0.0,1.0,11.0,0.0,47.0,357.0,0.0,0.0
AD,SB2,15.0,1.0,0.0,-1.0,0.0,1.0,13.0,0.0,-368.0,615.0,0.0,0.0
AD,SB2,16.0,0.0,0.0,-1.0,0.0,1.0,11.0,0.0,390.0,747.0,0.0,0.0
AD,SB2,17.0,1.0,0.0,-1.0,0.0,1.0,11.0,0.0,438.0,1053.0,0.0,0.0
AD,SB2,18.0,0.0,0.0,-1.0,0.0,1.0,13.0,0.0,319.0,1066.0,0.0,0.0
AD,SB2,19.0,0.0,0.0,-1.0,0.0,1.0,11.0,0.0,-822.0,244.0,0.0,0.0
AD,SB2,20.0,0.0,0.0,-1.0,0.0,1.0,13.0,0.0,1484.0,1728.0,0.0,0.0
AD,SB2,21.0,1.0,0.0,-1.0,0.0,1.0,13.0,0.0,62.0,1115.0,0.0,0.0
AD,SB2,22.0,0.0,0.0,1.0,196.0,0.0,0.0,203.0,-849.0,879.0,0.0,0.0
AD,SB2,23.0,1.0,0.0,-1.0,0.0,1.0,13.0,0.0,-426.0,689.0,0.0,0.0
AD,SB2,24.0,0.0,0.0,1.0,245.0,0.0,0.0,104.0,686.0,1565.0,0.0,0.0
AD,SB2,25.0,0.0,0.0,-1.0,0.0,1.0,11.0,0.0,-903.0,662.0,0.0,0.0
AD,SB2,26.0,0.0,0.0,1.0,0.0,1.0,16.0,610.0,309.0,971.0,0.0,0.0
AD,SB2,27.0,1.0,0.0,1.0,269.0,0.0,0.0,5.0,229.0,918.0,-282.0,5.0
AD,SB2,28.0,0.0,0.0,1.0,0.0,1.0,11.0,0.0,65.0,1036.0,0.0,0.0
AD,SB2,29.0,1.0,0.0,-1.0,0.0,1.0,13.0,0.0,112.0,1030.0,0.0,0.0
AD,SB2,30.0,1.0,0.0,-1.0,0.0,1.0,11.0,0.0,-328.0,702.0,0.0,0.0
AD,SB2,31.0,0.0,0.0,-1.0,0.0,1.0,13.0,0.0,-247.0,789.0,0.0,0.0
AD,SB2,32.0,1.0,0.0,-1.0,0.0,1.0,11.0,0.0,428.0,1130.0,0.0,0.0
AD,SB2,33.0,0.0,0.0,-1.0,0.0,1.0,11.0,0.0,760.0,1549.0,0.0,0.0
AD,SB2,34.0,0.0,0.0,1.0,0.0,1.0,16.0,794.0,-195.0,1354.0,0.0,0.0
AD,SB2,35.0,1.0,0.0,-1.0,0.0,1.0,13.0,0.0,425.0,1555.0,0.0,0.0
AD,SB2,36.0,0.0,0.0,-1.0,0.0,1.0,11.0,0.0,-259.0,1095.0,0.0,0.0
