Experimenter,Subject,Distractor type,RT (M),RT (SD),N correct,RT incorrect (M),RT incorrect (SD),N incorrect,Error rate,Delays (negative = incorrect),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jon,AB1_,0,0.2569230769,0.0355830556,26,,,0,0,0.295,0.24,0.25,0.23,0.275,0.265,0.285,0.245,0.195,0.25,0.27,0.245,0.245,0.26,0.33,0.22,0.225,0.225,0.275,0.245,0.255,0.335,0.245,0.33,0.21,0.235,,,,,,,,,,,,,,,,,,
Jon,AB1_,1,0.3108695652,0.0419862579,23,0.2883333333,0.0531664054,6,0.2608695652,0.32,0.28,0.33,-0.28,0.315,0.315,0.315,0.3,0.265,0.35,0.3,0.265,0.315,0.21,-0.21,0.34,-0.305,-0.33,0.3,0.41,0.385,0.34,0.335,0.305,0.315,0.275,-0.25,0.265,-0.355,,,,,,,,,,,,,,,
Jon,AB1_,2,0.3282,0.040152833,25,,,0,0,0.29,0.355,0.34,0.365,0.365,0.285,0.295,0.325,0.39,0.305,0.345,0.34,0.425,0.29,0.375,0.285,0.32,0.275,0.33,0.3,0.27,0.33,0.285,0.355,0.365,,,,,,,,,,,,,,,,,,,
Rachel,AL_,0,0.2595238095,0.0213251472,21,,,0,0,0.25,0.255,0.27,0.225,0.24,0.295,0.27,0.25,0.27,0.255,0.255,0.245,0.255,0.26,0.24,0.235,0.3,0.25,0.27,0.31,0.25,,,,,,,,,,,,,,,,,,,,,,,
Rachel,AL_,1,0.2783333333,0.0274295635,15,0.23,0.0141421356,2,0.1333333333,0.295,-0.24,0.275,0.28,0.22,0.22,0.275,0.305,0.27,0.26,0.29,0.305,0.3,-0.22,0.28,0.295,0.305,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rachel,AL_,2,0.2854545455,0.0709032632,11,0.235,,1,0.0909090909,0.225,0.25,-0.235,0.235,0.255,0.25,0.245,0.265,0.475,0.315,0.325,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aizat,AM,0,0.2883823529,0.0423678085,34,,,0,0,0.3,0.245,0.3,0.29,0.255,0.265,0.25,0.255,0.25,0.295,0.23,0.3,0.27,0.275,0.3,0.23,0.305,0.26,0.22,0.39,0.29,0.265,0.275,0.27,0.32,0.345,0.345,0.3,0.37,0.27,0.39,0.27,0.285,0.325,,,,,,,,,,
Aizat,AM,1,0.3295454545,0.0393970898,33,0.2275,0.0035355339,2,0.0606060606,0.315,-0.225,0.33,0.36,0.345,0.355,0.335,0.355,0.35,0.275,0.295,0.425,0.39,0.34,0.315,0.285,0.37,0.39,0.3,0.32,0.315,0.285,0.365,0.285,0.345,0.24,0.31,0.285,0.31,0.35,0.305,0.355,0.3,-0.23,0.375,,,,,,,,,
Aizat,AM,2,0.32453125,0.0687721738,32,,,0,0,0.405,0.265,0.34,0.28,0.345,0.575,0.3,0.33,0.375,0.25,0.33,0.345,0.295,0.325,0.27,0.315,0.395,0.25,0.38,0.24,0.235,0.29,0.375,0.31,0.245,0.29,0.38,0.39,0.23,0.325,0.355,0.35,,,,,,,,,,,,
Olivia,AS,0,0.2752083333,0.0297992985,24,,,0,0,0.245,0.285,0.255,0.285,0.24,0.31,0.27,0.295,0.305,0.27,0.26,0.275,0.28,0.255,0.24,0.245,0.275,0.285,0.28,0.265,0.365,0.25,0.325,0.245,,,,,,,,,,,,,,,,,,,,
Olivia,AS,1,0.3210714286,0.0493918036,28,0.2733333333,0.0251661148,3,0.1071428571,0.32,-0.25,0.24,0.315,0.295,0.35,0.26,0.33,0.315,0.4,-0.27,0.27,0.325,0.37,0.37,-0.3,0.28,0.44,0.32,0.29,0.36,0.27,0.335,0.275,0.315,0.29,0.27,0.345,0.32,0.43,0.29,,,,,,,,,,,,,
Olivia,AS,2,0.3624074074,0.1138011962,27,,,0,0,0.225,0.295,0.295,0.335,0.425,0.405,0.255,0.34,0.34,0.365,0.32,0.355,0.255,0.485,0.675,0.325,0.235,0.41,0.36,0.31,0.51,0.42,0.24,0.26,0.365,0.66,0.32,,,,,,,,,,,,,,,,,
