Subject,Distractor type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AB1_,0,0.295,0.24,0.25,0.23,0.275,0.265,0.285,0.245,0.195,0.25,0.27,0.245,0.245,0.26,0.33,0.22,0.225,0.225,0.275,0.245,0.255,0.335,0.245,0.33,0.21,0.235,,,,,,,,,,,,,,,,,,
AB1_,1,0.32,0.28,0.33,-0.28,0.315,0.315,0.315,0.3,0.265,0.35,0.3,0.265,0.315,0.21,-0.21,0.34,-0.305,-0.33,0.3,0.41,0.385,0.34,0.335,0.305,0.315,0.275,-0.25,0.265,-0.355,,,,,,,,,,,,,,,
AB1_,2,0.29,0.355,0.34,0.365,0.365,0.285,0.295,0.325,0.39,0.305,0.345,0.34,0.425,0.29,0.375,0.285,0.32,0.275,0.33,0.3,0.27,0.33,0.285,0.355,0.365,,,,,,,,,,,,,,,,,,,
AL_,0,0.25,0.255,0.27,0.225,0.24,0.295,0.27,0.25,0.27,0.255,0.255,0.245,0.255,0.26,0.24,0.235,0.3,0.25,0.27,0.31,0.25,,,,,,,,,,,,,,,,,,,,,,,
AL_,1,0.295,-0.24,0.275,0.28,0.22,0.22,0.275,0.305,0.27,0.26,0.29,0.305,0.3,-0.22,0.28,0.295,0.305,,,,,,,,,,,,,,,,,,,,,,,,,,,
AL_,2,0.225,0.25,-0.235,0.235,0.255,0.25,0.245,0.265,0.475,0.315,0.325,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AM,0,0.3,0.245,0.3,0.29,0.255,0.265,0.25,0.255,0.25,0.295,0.23,0.3,0.27,0.275,0.3,0.23,0.305,0.26,0.22,0.39,0.29,0.265,0.275,0.27,0.32,0.345,0.345,0.3,0.37,0.27,0.39,0.27,0.285,0.325,,,,,,,,,,
AM,1,0.315,-0.225,0.33,0.36,0.345,0.355,0.335,0.355,0.35,0.275,0.295,0.425,0.39,0.34,0.315,0.285,0.37,0.39,0.3,0.32,0.315,0.285,0.365,0.285,0.345,0.24,0.31,0.285,0.31,0.35,0.305,0.355,0.3,-0.23,0.375,,,,,,,,,
AM,2,0.405,0.265,0.34,0.28,0.345,0.575,0.3,0.33,0.375,0.25,0.33,0.345,0.295,0.325,0.27,0.315,0.395,0.25,0.38,0.24,0.235,0.29,0.375,0.31,0.245,0.29,0.38,0.39,0.23,0.325,0.355,0.35,,,,,,,,,,,,
AS,0,0.245,0.285,0.255,0.285,0.24,0.31,0.27,0.295,0.305,0.27,0.26,0.275,0.28,0.255,0.24,0.245,0.275,0.285,0.28,0.265,0.365,0.25,0.325,0.245,,,,,,,,,,,,,,,,,,,,
AS,1,0.32,-0.25,0.24,0.315,0.295,0.35,0.26,0.33,0.315,0.4,-0.27,0.27,0.325,0.37,0.37,-0.3,0.28,0.44,0.32,0.29,0.36,0.27,0.335,0.275,0.315,0.29,0.27,0.345,0.32,0.43,0.29,,,,,,,,,,,,,
AS,2,0.225,0.295,0.295,0.335,0.425,0.405,0.255,0.34,0.34,0.365,0.32,0.355,0.255,0.485,0.675,0.325,0.235,0.41,0.36,0.31,0.51,0.42,0.24,0.26,0.365,0.66,0.32,,,,,,,,,,,,,,,,,
AW1_,0,0.29,0.35,0.26,0.265,0.285,0.255,0.24,0.255,0.245,0.21,0.27,0.24,0.23,0.235,0.2,0.24,0.215,0.29,0.24,0.22,0.2,0.265,0.22,0.235,0.255,0.23,0.205,0.245,0.205,0.235,0.22,0.225,0.22,0.255,,,,,,,,,,
AW1_,1,-0.26,0.335,-0.225,0.25,0.235,0.285,0.27,-0.235,0.235,0.26,0.265,0.235,0.305,0.24,0.3,-0.26,-0.31,0.28,0.26,0.32,0.3,-0.235,0.32,0.295,0.31,0.215,-0.275,,,,,,,,,,,,,,,,,
AW1_,2,0.31,0.265,0.28,0.255,0.31,0.34,0.285,0.225,0.395,0.275,0.275,0.315,0.32,0.305,0.31,0.3,0.31,0.355,0.3,0.33,0.255,0.51,,,,,,,,,,,,,,,,,,,,,,
AW2_,0,0.235,0.31,0.265,0.265,0.255,0.345,0.23,0.285,0.275,0.265,0.325,0.33,0.26,0.295,0.295,0.28,0.28,0.27,0.33,0.225,0.26,,,,,,,,,,,,,,,,,,,,,,,
AW2_,1,0.225,0.28,0.265,0.285,0.44,-0.245,-0.24,-0.22,0.275,0.36,0.24,0.305,0.305,0.32,-0.21,0.31,0.325,0.33,-0.255,0.445,0.355,0.35,-0.29,0.285,0.275,0.425,0.365,0.35,-0.23,0.37,,,,,,,,,,,,,,
AW2_,2,0.305,0.36,0.26,0.42,0.305,0.325,0.345,0.375,0.305,0.285,0.275,0.33,0.235,0.285,0.48,0.34,0.345,0.335,0.345,,,,,,,,,,,,,,,,,,,,,,,,,
AW3_,0,0.365,0.32,0.32,0.325,0.275,0.405,0.335,0.295,0.275,0.365,0.34,0.32,0.335,0.365,0.335,0.335,0.335,0.345,0.285,0.325,0.295,0.29,0.285,0.31,0.355,0.335,0.3,0.31,0.345,0.295,0.255,0.315,0.315,0.31,0.33,0.64,0.365,,,,,,,
