subj_id,num,type,error,correctmove,latency,omit,direction
SB2,2.0,1.0,0.0,-1.0,0.0,1.0,-83.0
SB2,3.0,1.0,0.0,-1.0,0.0,1.0,-17.0
SB2,4.0,1.0,0.0,1.0,255.0,0.0,-299.0
SB2,5.0,1.0,0.0,1.0,244.0,0.0,-96.0
SB2,6.0,1.0,0.0,1.0,296.0,0.0,241.0
SB2,7.0,1.0,1.0,0.0,254.0,0.0,81.0
SB2,8.0,1.0,0.0,1.0,276.0,0.0,-157.0
SB2,9.0,1.0,0.0,1.0,286.0,0.0,-413.0
SB2,10.0,1.0,0.0,-1.0,0.0,1.0,-194.0
SB2,11.0,1.0,0.0,-1.0,0.0,1.0,267.0
SB2,12.0,1.0,0.0,-1.0,0.0,1.0,-424.0
SB2,13.0,1.0,0.0,-1.0,0.0,1.0,142.0
SB2,14.0,1.0,0.0,1.0,255.0,0.0,410.0
SB2,15.0,1.0,0.0,-1.0,0.0,1.0,314.0
SB2,16.0,1.0,0.0,1.0,280.0,0.0,312.0
SB2,17.0,1.0,0.0,-1.0,0.0,1.0,-357.0
SB2,18.0,1.0,1.0,0.0,204.0,0.0,151.0
SB2,19.0,1.0,0.0,-1.0,0.0,1.0,11.0
SB2,20.0,1.0,0.0,-1.0,0.0,1.0,-321.0
SB2,21.0,1.0,0.0,-1.0,0.0,1.0,-354.0
SB2,22.0,1.0,0.0,1.0,264.0,0.0,179.0
SB2,23.0,1.0,0.0,1.0,261.0,0.0,405.0
SB2,24.0,1.0,0.0,-1.0,0.0,1.0,309.0
SB2,25.0,1.0,0.0,1.0,245.0,0.0,-74.0
SB2,26.0,1.0,0.0,1.0,250.0,0.0,-51.0
SB2,27.0,1.0,0.0,1.0,264.0,0.0,-453.0
SB2,28.0,1.0,0.0,1.0,325.0,0.0,-28.0
SB2,29.0,1.0,0.0,1.0,175.0,0.0,-314.0
SB2,30.0,1.0,0.0,-1.0,0.0,1.0,-198.0
SB2,31.0,1.0,0.0,1.0,261.0,0.0,353.0
SB2,32.0,1.0,0.0,-1.0,0.0,1.0,16.0
SB2,33.0,1.0,0.0,1.0,268.0,0.0,-186.0
SB2,34.0,1.0,0.0,-1.0,0.0,1.0,-8.0
SB2,35.0,1.0,0.0,-1.0,0.0,1.0,427.0
SB2,36.0,1.0,0.0,1.0,317.0,0.0,-111.0
SB2,37.0,1.0,0.0,1.0,326.0,0.0,-209.0
SB2,38.0,1.0,0.0,-1.0,0.0,1.0,29.0
SB2,39.0,1.0,0.0,-1.0,0.0,1.0,-208.0
SB2,40.0,1.0,0.0,1.0,271.0,0.0,356.0
SB2,41.0,1.0,0.0,1.0,249.0,0.0,236.0
SB2,42.0,1.0,0.0,-1.0,0.0,1.0,-81.0
SB2,43.0,1.0,0.0,1.0,255.0,0.0,379.0
SB2,44.0,1.0,0.0,-1.0,0.0,1.0,41.0
SB2,45.0,1.0,0.0,-1.0,0.0,1.0,-233.0
SB2,46.0,1.0,0.0,-1.0,0.0,1.0,-32.0
SB2,47.0,1.0,0.0,1.0,295.0,0.0,275.0
SB2,48.0,1.0,0.0,1.0,351.0,0.0,212.0
SB2,49.0,1.0,0.0,-1.0,0.0,1.0,-397.0
SB2,50.0,1.0,0.0,1.0,297.0,0.0,-210.0
SB2,51.0,1.0,0.0,-1.0,0.0,1.0,268.0
SB2,52.0,1.0,0.0,-1.0,0.0,1.0,-72.0
SB2,53.0,1.0,0.0,-1.0,0.0,1.0,418.0
SB2,54.0,1.0,0.0,1.0,315.0,0.0,-443.0
SB2,55.0,1.0,0.0,-1.0,0.0,1.0,-121.0
SB2,56.0,1.0,0.0,-1.0,0.0,1.0,-116.0
SB2,57.0,1.0,0.0,-1.0,0.0,1.0,295.0
SB2,58.0,1.0,0.0,-1.0,0.0,1.0,20.0
SB2,59.0,1.0,0.0,1.0,265.0,0.0,54.0
SB2,60.0,1.0,0.0,1.0,296.0,0.0,-256.0
SB2,61.0,1.0,0.0,1.0,315.0,0.0,297.0
SB2,62.0,1.0,0.0,1.0,286.0,0.0,-181.0
SB2,63.0,1.0,0.0,1.0,249.0,0.0,-470.0
SB2,64.0,1.0,0.0,1.0,316.0,0.0,-95.0
SB2,65.0,1.0,0.0,1.0,315.0,0.0,248.0
SB2,66.0,1.0,0.0,-1.0,0.0,1.0,-311.0
SB2,67.0,1.0,0.0,1.0,306.0,0.0,-121.0
SB2,68.0,1.0,0.0,1.0,286.0,0.0,439.0
HY,2.0,1.0,0.0,1.0,321.0,0.0,301.0
HY,3.0,1.0,0.0,1.0,304.0,0.0,-440.0
HY,4.0,1.0,0.0,1.0,315.0,0.0,341.0
HY,5.0,1.0,0.0,1.0,250.0,0.0,-470.0
HY,6.0,1.0,0.0,1.0,305.0,0.0,34.0
HY,7.0,1.0,0.0,1.0,319.0,0.0,-286.0
HY,8.0,1.0,0.0,-1.0,0.0,1.0,420.0
HY,9.0,1.0,0.0,1.0,364.0,0.0,62.0
HY,11.0,1.0,0.0,-1.0,0.0,1.0,209.0
HY,12.0,1.0,0.0,-1.0,0.0,1.0,-320.0
HY,13.0,1.0,0.0,1.0,281.0,0.0,-379.0
HY,14.0,1.0,0.0,-1.0,0.0,1.0,-434.0
HY,15.0,1.0,0.0,1.0,286.0,0.0,263.0
HY,16.0,1.0,1.0,0.0,115.0,0.0,54.0
HY,17.0,1.0,0.0,1.0,294.0,0.0,-370.0
HY,18.0,1.0,0.0,-1.0,0.0,1.0,341.0
HY,19.0,1.0,0.0,-1.0,0.0,1.0,-201.0
HY,20.0,1.0,0.0,1.0,280.0,0.0,226.0
HY,21.0,1.0,0.0,-1.0,0.0,1.0,372.0
HY,22.0,1.0,0.0,1.0,476.0,0.0,-218.0
HY,23.0,1.0,0.0,-1.0,0.0,1.0,-423.0
HY,24.0,1.0,0.0,1.0,415.0,0.0,-182.0
HY,25.0,1.0,0.0,1.0,305.0,0.0,243.0
HY,26.0,1.0,0.0,1.0,315.0,0.0,-199.0
