idnum,error_rate,condition,condition_str,subj_id
37,0.0540540540541,1,ND,SB2
37,0.255813953488,2,SD,SB2
37,0.216216216216,3,AD,SB2
24,0.0851063829787,1,ND,HY
24,0.0227272727273,2,SD,HY
24,0.25,3,AD,HY
29,0.0,1,ND,CD2
29,0.111111111111,2,SD,CD2
29,0.333333333333,3,AD,CD2
49,0.0212765957447,1,ND,CH
49,0.169811320755,2,SD,CH
49,0.140350877193,3,AD,CH
11,0.0,1,ND,JS
11,0.0975609756098,2,SD,JS
11,0.184210526316,3,AD,JS
12,0.0,1,ND,LK_
12,0.170212765957,2,SD,LK_
12,0.170731707317,3,AD,LK_
35,0.0,1,ND,BG
35,0.037037037037,2,SD,BG
35,0.176470588235,3,AD,BG
40,0.0,1,ND,CD1
40,0.166666666667,2,SD,CD1
40,0.0416666666667,3,AD,CD1
25,0.0,1,ND,EB2
25,0.0833333333333,2,SD,EB2
25,0.127659574468,3,AD,EB2
20,0.0192307692308,1,ND,JF
20,0.127659574468,2,SD,JF
20,0.132075471698,3,AD,JF
47,0.0408163265306,1,ND,EW1_
47,0.137254901961,2,SD,EW1_
47,0.133333333333,3,AD,EW1_
30,0.0,1,ND,IB
30,0.0727272727273,2,SD,IB
30,0.125,3,AD,IB
28,0.0,1,ND,RQ
28,0.0833333333333,2,SD,RQ
28,0.1,3,AD,RQ
50,0.0212765957447,1,ND,KR
50,0.115384615385,2,SD,KR
50,0.204081632653,3,AD,KR
53,0.0196078431373,1,ND,EB1
53,0.0192307692308,2,SD,EB1
53,0.195652173913,3,AD,EB1
45,0.047619047619,1,ND,NA_
45,0.0434782608696,2,SD,NA_
45,0.289473684211,3,AD,NA_
51,0.06,1,ND,NC
51,0.136363636364,2,SD,NC
51,0.205882352941,3,AD,NC
55,0.0,1,ND,JT1
55,0.0454545454545,2,SD,JT1
55,0.175,3,AD,JT1
17,0.0222222222222,1,ND,JT2
17,0.28,2,SD,JT2
17,0.166666666667,3,AD,JT2
34,0.0,1,ND,PB
34,0.0727272727273,2,SD,PB
34,0.0925925925926,3,AD,PB
19,0.05,1,ND,AW2_
19,0.244444444444,2,SD,AW2_
19,0.28125,3,AD,AW2_
15,0.046511627907,1,ND,RF
15,0.0810810810811,2,SD,RF
15,0.0769230769231,3,AD,RF
42,0.0833333333333,1,ND,TM
42,0.127659574468,2,SD,TM
42,0.322580645161,3,AD,TM
41,0.0,1,ND,LS
41,0.1,2,SD,LS
41,0.18,3,AD,LS
52,0.0222222222222,1,ND,LH1
52,0.111111111111,2,SD,LH1
52,0.179487179487,3,AD,LH1
18,0.0,1,ND,RC
18,0.0576923076923,2,SD,RC
18,0.232558139535,3,AD,RC
22,0.0,1,ND,TC
22,0.217391304348,2,SD,TC
22,0.257142857143,3,AD,TC
44,0.0,1,ND,LH2
44,0.0851063829787,2,SD,LH2
44,0.25,3,AD,LH2
54,0.0204081632653,1,ND,SB1
54,0.130434782609,2,SD,SB1
54,0.063829787234,3,AD,SB1
23,0.0,1,ND,IR
23,0.230769230769,2,SD,IR
23,0.257142857143,3,AD,IR
21,0.0,1,ND,EK
21,0.403846153846,2,SD,EK
21,0.243243243243,3,AD,EK
3,0.0,1,ND,EJ
3,0.0588235294118,2,SD,EJ
3,0.225806451613,3,AD,EJ
1,0.0,1,ND,EF
1,0.0727272727273,2,SD,EF
1,0.111111111111,3,AD,EF
46,0.051724137931,1,ND,AM
46,0.046511627907,2,SD,AM
46,0.196078431373,3,AD,AM
7,0.0,1,ND,AB1_
7,0.18,2,SD,AB1_
7,0.133333333333,3,AD,AB1_
43,0.0,1,ND,RG
43,0.0566037735849,2,SD,RG
43,0.0769230769231,3,AD,RG
39,0.0,1,ND,AS
39,0.117647058824,2,SD,AS
39,0.318181818182,3,AD,AS
4,0.0,1,ND,EC2
4,0.0769230769231,2,SD,EC2
4,0.025,3,AD,EC2
38,0.0,1,ND,EC1
38,0.127659574468,2,SD,EC1
38,0.0769230769231,3,AD,EC1
16,0.0204081632653,1,ND,GM
16,0.078431372549,2,SD,GM
16,0.0192307692308,3,AD,GM
14,0.0714285714286,1,ND,CP
14,0.166666666667,2,SD,CP
14,0.44,3,AD,CP
48,0.0188679245283,1,ND,RD
48,0.0612244897959,2,SD,RD
48,0.163265306122,3,AD,RD
13,0.0,1,ND,KC
13,0.0363636363636,2,SD,KC
13,0.078431372549,3,AD,KC
9,0.0,1,ND,SY
9,0.0769230769231,2,SD,SY
9,0.06,3,AD,SY
32,0.0185185185185,1,ND,CM
32,0.263157894737,2,SD,CM
32,0.484848484848,3,AD,CM
36,0.0175438596491,1,ND,MC
36,0.2,2,SD,MC
36,0.122448979592,3,AD,MC
10,0.0208333333333,1,ND,SS
10,0.153846153846,2,SD,SS
10,0.454545454545,3,AD,SS
31,0.0,1,ND,PO
31,0.025641025641,2,SD,PO
31,0.12,3,AD,PO
27,0.0,1,ND,AL_
